タイトル,著者,リンク,画像URL,あらすじ
#真相をお話しします,結城 真一郎,https://bookmeter.com/books/19696286,https://m.media-amazon.com/images/I/51JvYmtQvEL._SL500_.jpg,"【2023年本屋大賞ノミネート作】私たちの日常に潜む小さな""歪み""、あなたは見抜くことができるか。家庭教師の派遣サービス業に従事する大学生が、とある家族の異変に気がついて……(「惨者面談」)。不妊に悩む夫婦がようやく授かった我が子。しかしそこへ「あなたの精子提供によって生まれた子供です」と名乗る別の〈娘〉が現れたことから予想外の真実が明らかになる(「パンドラ」)。子供が4人しかいない島で、僕らはiPhoneを手に入れ「ゆーちゅーばー」になることにした。でも、ある事件を境に島のひとびとがやけによそよそしくなっていって……(「#拡散希望」)など、昨年「#拡散希望」が第74回日本推理作家協会賞を受賞。そして今年、第22回本格ミステリ大賞にノミネートされるなど、いま話題沸騰中の著者による、現代日本の〈いま〉とミステリの技巧が見事に融合した珠玉の5篇を収録。"
おいしいごはんが食べられますように,高瀬 隼子,https://bookmeter.com/books/19486870,https://m.media-amazon.com/images/I/41axDl3i0XL._SL500_.jpg,第167回芥川賞受賞。「二谷さん、わたしと一緒に、芦川さんにいじわるしませんか」心をざわつかせる、仕事+食べもの+恋愛小説。職場でそこそこうまくやっている二谷と、皆が守りたくなる存在で料理上手な芦川と、仕事ができてがんばり屋の押尾。ままならない人間関係を、食べものを通して描く傑作。
ゆびさきに魔法,三浦 しをん,https://bookmeter.com/books/22244341,https://m.media-amazon.com/images/I/41FN-jI7znL._SL500_.jpg,あらすじ不明
乱歩と千畝：ＲＡＭＰＯとＳＥＭＰＯ,青柳　碧人,https://bookmeter.com/books/22606071,https://m.media-amazon.com/images/I/511q6K+tM3L._SL500_.jpg,【第173回直木賞候補作】大学の先輩後輩、江戸川乱歩と杉原千畝。まだ何者でもない青年だったが、夢だけはあった。希望と不安を抱え、浅草の猥雑な路地を歩き語り合い、それぞれの道へ別れていく……。若き横溝正史や巨頭松岡洋右と出会い、新しい歴史を作り、互いの人生が交差しつつ感動の最終章へ。「真の友人はあなただけでしたよ」――泣ける傑作。
踊りつかれて,塩田 武士,https://bookmeter.com/books/22623329,https://m.media-amazon.com/images/I/31DR0M8-s1L._SL500_.jpg,【第173回直木賞候補作】首相暗殺テロが相次いだあの頃、インターネット上にももう一つの爆弾が落とされていた。ブログに突如書き込まれた【宣戦布告】。そこでは、SNSで誹謗中傷をくり返す人々の名前や年齢、住所、職場、学校……あらゆる個人情報が晒された。ひっそりと、音を立てずに爆発したその爆弾は時を経るごとに威力を増し、やがて83人の人生を次々と壊していった。言葉が異次元の暴力になるこの時代。不倫を報じられ、SNSで苛烈な誹謗中傷にあったお笑い芸人・天童ショージは自ら死を選んだ。ほんの少し時を遡れば、伝説の歌姫・奥田美月は週刊誌のデタラメに踊らされ、人前から姿を消した。彼らを追いつめたもの、それは――。
逃亡者は北へ向かう,柚月　裕子,https://bookmeter.com/books/22428974,https://m.media-amazon.com/images/I/51L18VuKj2L._SL500_.jpg,【第173回直木賞候補作】大震災直後に殺人を犯し、死刑を覚悟しながらもある人物を探すため姿を消した青年。自らの家族も被災した一人の刑事が、執念の捜査で容疑者に迫る。壊れた道、選べなかった人生――混沌とした被災地で繰り広げられる逃亡劇！　『孤狼の血』『盤上の向日葵』の著者が地元・東北を舞台に描く震災クライムサスペンス。
酒亭DARKNESS,恩田 陸,https://bookmeter.com/books/22745246,https://m.media-amazon.com/images/I/01MKUOLsA5L._SL500_.gif,あらすじ不明
Ｎの逸脱 (一般書),夏木　志朋,https://bookmeter.com/books/22350109,https://m.media-amazon.com/images/I/31qGvrnr0pL._SL500_.jpg,【第173回直木賞候補作】爬虫類のペットショップでアルバイトをする金本篤は、売れ残ったフトアゴヒゲトカゲが処分されそうになるのを見て、店長に譲ってくれと頼む。だが、提示された金額はあまりに高額で、「ある男」を強請って金を得ようと一計を案じるが……。自ら仕掛けた罠が思いがけぬ結末を呼び込む「場違いな客」など、町の「隣人」たちが日常の奈落で繰りひろげる３つの物語。
嘘と隣人,芦沢 央,https://bookmeter.com/books/22524730,https://m.media-amazon.com/images/I/51pEtxf2jvL._SL500_.jpg,【第173回直木賞候補作】ストーカー化した元パートナー、マタハラと痴漢冤罪、技能実習制度と人種差別、SNSでの誹謗中傷・脅し……。リタイアした元刑事の平穏な日常に降りかかる事件の数々。身近な人間の悪意が白日の下に晒された時、捜査権限を失った男・平良正太郎は、事件の向こうに何を見るのか？
増補版　大人のための国語ゼミ (単行本),野矢 茂樹,https://bookmeter.com/books/13131674,https://m.media-amazon.com/images/I/51y-y-HJJKL._SL500_.jpg,あらすじ不明
僕には鳥の言葉がわかる,鈴木 俊貴,https://bookmeter.com/books/22378144,https://m.media-amazon.com/images/I/41XoYclbCZL._SL500_.jpg,あらすじ不明
クロエとオオエ,有川 ひろ,https://bookmeter.com/books/22652134,https://m.media-amazon.com/images/I/51O+6pxQWaL._SL500_.jpg,あらすじ不明
ブレイクショットの軌跡,逢坂 冬馬,https://bookmeter.com/books/22448118,https://m.media-amazon.com/images/I/51QDQlVCaxL._SL500_.jpg,【第173回直木賞候補作】移り変わっていくブレイクショットの所有者を通して、現代日本社会の諸相と複雑なドラマが展開されていく。人間の多様性と不可解さをテーマに、8つの物語の「軌跡」を奇跡のような構成力で描き切った、『同志少女よ、敵を撃て』を超える最高傑作。
閲覧厳禁　猟奇殺人犯の精神鑑定報告書,知念 実希人,https://bookmeter.com/books/22745148,https://m.media-amazon.com/images/I/01MKUOLsA5L._SL500_.gif,あらすじ不明
カフネ,阿部 暁子,https://bookmeter.com/books/21923916,https://m.media-amazon.com/images/I/41zJF4rs6bL._SL500_.jpg,☆2025年本屋大賞受賞作☆【第8回未来屋小説大賞】【第1回あの本、読みました?大賞】一緒に生きよう。あなたがいると、きっとおいしい。やさしくも、せつない。この物語は、心にそっと寄り添ってくれる。最愛の弟が急死した。29歳の誕生日を祝ったばかりだった。姉の野宮薫子は遺志に従い弟の元恋人・小野寺せつなと会うことになる。無愛想なせつなに憤る薫子だったが、疲労がたたりその場で倒れてしまう。実は離婚をきっかけに荒んだ生活を送っていた薫子。家まで送り届けてくれたせつなに振る舞われたのは、それまでの彼女の態度からは想像もしなかったような優しい手料理だった。久しぶりの温かな食事に身体がほぐれていく。そんな薫子にせつなは家事代行サービス会社『カフネ』の仕事を手伝わないかと提案する。
子どもの話にどんな返事をしてますか? ―親がこう答えれば、子どもは自分で考えはじめる,"ハイム・G・ギノット,菅 靖彦",https://bookmeter.com/books/109915,https://m.media-amazon.com/images/I/51wL0pgyYsL._SL500_.jpg,あらすじ不明
ふたり腐れ,櫛木 理宇,https://bookmeter.com/books/22508376,https://m.media-amazon.com/images/I/51xvKchxmeL._SL500_.jpg,コールセンターで働くイチカは平凡な日常を静かに過ごしていた。そんなある日、居酒屋で隣り合った大柄な女が人を殺す場面を目撃したことから、連続殺人鬼との奇妙な共同生活が始まる……その関係は支配か友情か恋か。ふたりが堕ちてゆく果てにあるものとは?
踊れ、愛より痛いほうへ,向坂くじら,https://bookmeter.com/books/22636061,https://m.media-amazon.com/images/I/41zII9ZtzYL._SL500_.jpg,【第173回芥川賞候補作】幼い頃から納得できないことがあると「割れる」アンノは、かつて母のおなかにいたはずの「妹」が自分のせいでいなくなったことを知り、衝撃を受ける。高校生になったアンノは、恋愛を疑い、家庭を拒否して、家の庭にテントを建てて暮らし始めるが――。
禁忌の子,山口 未桜,https://bookmeter.com/books/22154734,https://m.media-amazon.com/images/I/51mfoS-SLJL._SL500_.jpg,☆2025年本屋大賞・第4位☆＊第3位「週刊文春」ミステリーベスト10 （2024年12月12日号）救急医・武田の元に搬送されてきた、一体の溺死体。その身元不明の遺体「キュウキュウ十二」は、なんと武田と瓜二つであった。彼はなぜ死んだのか、そして自身との関係は何なのか、武田は旧友で医師の城崎と共に調査を始める。しかし鍵を握る人物に会おうとした矢先、相手が密室内で死体となって発見されてしまう。自らのルーツを辿った先にある、思いもよらぬ真相とは――。過去と現在が交錯する、医療×本格ミステリ！　第三十四回鮎川哲也賞受賞作。
国宝 (上) 青春篇,吉田修一,https://bookmeter.com/books/12949168,https://m.media-amazon.com/images/I/51z5ObhKPvL._SL500_.jpg,あらすじ不明
短篇七芒星,舞城 王太郎,https://bookmeter.com/books/19863731,https://m.media-amazon.com/images/I/51ZByDcljcL._SL500_.jpg,あらすじ不明
忙しいのに退化する人たち　やってはいけない働き方,デニス・ノルマーク、アナス・フォウ・イェンスン,https://bookmeter.com/books/22578063,https://m.media-amazon.com/images/I/412KZScymML._SL500_.jpg,あらすじ不明
パズルと天気,伊坂 幸太郎,https://bookmeter.com/books/22602860,https://m.media-amazon.com/images/I/51QZozPuvQL._SL500_.jpg,伊坂幸太郎デビュー25周年に贈る、「幸せ」な短編集！【パズル】悩みを抱えた「僕」は、マッチングアプリでしか出会えない「名探偵」に依頼する。【竹やぶバーニング】出荷した竹にかぐや姫が混入！？ 仙台七夕まつりで大捜索が始まった！【透明ポーラーベア】動物園で会ったのはシロクマ好きで行方不明になってしまった姉の、元恋人だった。【イヌゲンソーゴ】花咲か爺さん、ブレーメン……俺たちの記憶を刺激するあの男は誰だ？【Weather】友人・清水の結婚式に参加した大友は新婦からある相談を持ち掛けられていて――。
