タイトル,著者,リンク,画像URL,あらすじ
世界でいちばん透きとおった物語２ (新潮文庫 す 31-3),杉井光,https://bookmeter.com/books/22360965,https://m.media-amazon.com/images/I/41CtW8O90-L._SL500_.jpg,累計50万部突破の超話題作「セカスキ」待望の続編。新人小説家･燈真と博覧強記の編集者･霧子さんのバディが、ある小説の遺稿に秘められた想いを解き明かすビブリオ・ミステリ。
コンビニ兄弟４：―テンダネス門司港こがね村店― (新潮文庫 ま 60-4),町田　そのこ,https://bookmeter.com/books/22033555,https://m.media-amazon.com/images/I/51tHpxrlMfL._SL500_.jpg,この優しい出会いは小さな幸せのはじまりだ百合は大好きだった夫と別れ傷心の一人暮らしを始めるが、門司港で妙に賑うコンビニを発見する。舞人はかつてヒーローになりたかった。自分を見失う彼の元に突如訪れた「テンダネス着ぐるみ」任務。その背後にはとあるコンビニ店員との過去から今に繋がる熱い友情があった。報われるばかりの人生でなくとも、手にすることができる小さな幸せがここにある。北九州・門司港発温かなコンビニ物語第四弾。
木曜日にはココアを (宝島社文庫),青山 美智子,https://bookmeter.com/books/14088438,https://m.media-amazon.com/images/I/419tUUpelXL._SL500_.jpg,あらすじ不明
葉桜の季節に君を想うということ (文春文庫 う 20-1),歌野 晶午,https://bookmeter.com/books/580339,https://m.media-amazon.com/images/I/51vqUG-N+OL._SL500_.jpg,究極の驚愕、ミステリーの奇蹟がここにある素人探偵のもとに持ち込まれた霊感商法事件の意外な顛末、そして…。あなたは最後の一文まで、ただひたすら驚き続けることになる
棘の家 (角川文庫),中山 七里,https://bookmeter.com/books/22552803,https://m.media-amazon.com/images/I/515QV6IV5ML._SL500_.jpg,あらすじ不明
星の王子さま (新潮文庫),サン=テグジュペリ,https://bookmeter.com/books/555804,https://m.media-amazon.com/images/I/41TXrsCQJuL._SL500_.jpg,これまでで最も愛らしく、毅然とした王子さまが、優しい日本語でよみがえります。世界中の子供が、そして大人が読んできた。世紀を越えるベストセラー。砂漠に飛行機で不時着した「僕」が出会った男の子。それは、小さな小さな自分の星を後にして、いくつもの星をめぐってから七番目の星・地球にたどり着いた王子さまだった……。一度読んだら必ず宝物にしたくなる、この宝石のような物語は、刊行後六十年以上たった今も、世界中でみんなの心をつかんで離さない。最も愛らしく毅然とした王子さまを、優しい日本語でよみがえらせた、新訳。
イクサガミ 天 (講談社文庫 い 148-1),今村 翔吾,https://bookmeter.com/books/19203075,https://m.media-amazon.com/images/I/416suayCkbL._SL500_.jpg,あらすじ不明
街とその不確かな壁（下巻） (新潮文庫 む 5-47),村上春樹,https://bookmeter.com/books/22588611,https://m.media-amazon.com/images/I/510oqU3VInL._SL500_.jpg,あらすじ不明
一次元の挿し木 (宝島社文庫 『このミス』大賞シリーズ),松下 龍之介,https://bookmeter.com/books/22416936,https://m.media-amazon.com/images/I/51mxzx-4pKL._SL500_.jpg,2025年第23回『このミステリーがすごい！』大賞・文庫グランプリ受賞作「謎の牽引力、ストーリーの面白さは、今回これがダントツ」大森 望（翻訳家・書評家）「古人骨のＤＮＡ鑑定が暴く驚くべき真相！」香山二三郎（コラムニスト）「謎の散らばせ方、話の運び方も上手く、最後までぐいぐい読ませました。文章も上手い」瀧井朝世（ライター）「文章力が圧倒的だし、魅力的な謎の提示、読者を惑わす情報を入れてくるタイミングなど、とにかく舌を巻く巧さだ」千街晶之（書評家）「遺伝人類学を専攻する主人公の専門家らしさもきちんと書けているし、一方で“ちゃぽん”という擬音の活かし方も巧みだ」村上貴史（書評家）「スケールが大きい陰謀劇であり、成長小説としての面白さも備えた作品。広げた風呂敷をきちんと畳み、物語の幕を閉じる技量に、自信を持って推す」川出正樹（書評家）二百年前の人骨のDNAが四年前に失踪した妹のものと一致!?ヒマラヤ山中で発掘された二百年前の人骨。大学院で遺伝学を学ぶ悠がＤＮＡ鑑定にかけると、四年前に失踪した妹のものと一致した。不可解な鑑定結果から担当教授の石見崎に相談しようとするも、石見崎は何者かに殺害される。古人骨を発掘した調査員も襲われ、研究室からは古人骨が盗まれた。悠は妹の生死と、古人骨のＤＮＡの真相を突き止めるべく動き出し、予測もつかない大きな企みに巻き込まれていく－－。
魔女裁判の弁護人 (宝島社文庫 『このミス』大賞シリーズ),君野 新汰,https://bookmeter.com/books/22645487,https://m.media-amazon.com/images/I/512dYXIBFfL._SL500_.jpg,あらすじ不明
